experiment_name,exp_timestamp,time_s,tput
policy5,2025-10-22-20-05-36,12.0,3838.6666666666665
policy5,2025-10-22-20-05-36,15.0,3778.6666666666665
policy5,2025-10-22-20-05-36,18.0,3780.3333333333335
policy5,2025-10-22-20-05-36,21.0,3812.0
policy5,2025-10-22-20-05-36,24.0,3725.0
policy5,2025-10-22-20-05-36,27.0,3792.6666666666665
policy5,2025-10-22-20-05-36,30.0,3781.0
policy5,2025-10-22-20-05-36,33.0,3743.0
policy5,2025-10-22-20-05-36,36.0,3817.3333333333335
policy5,2025-10-22-20-05-36,39.0,3728.3333333333335
policy5,2025-10-22-20-05-36,42.0,3803.0
policy5,2025-10-22-20-05-36,45.0,3828.0
policy5,2025-10-22-20-05-36,48.0,3713.0
policy5,2025-10-22-20-05-36,51.0,3821.3333333333335
policy5,2025-10-22-20-05-36,54.0,3861.3333333333335
policy5,2025-10-22-20-05-36,57.0,3763.0
policy5,2025-10-22-20-05-36,60.0,3793.6666666666665
policy5,2025-10-22-20-08-35,3.0,3776.6666666666665
policy5,2025-10-22-20-08-35,6.0,3747.3333333333335
policy5,2025-10-22-20-08-35,9.0,3742.3333333333335
policy5,2025-10-22-20-08-35,12.0,3845.3333333333335
policy5,2025-10-22-20-08-35,15.0,3794.0
policy5,2025-10-22-20-08-35,18.0,3782.0
policy5,2025-10-22-20-08-35,21.0,3769.6666666666665
policy5,2025-10-22-20-08-35,24.0,3663.0
policy5,2025-10-22-20-08-35,27.0,3738.0
policy5,2025-10-22-20-08-35,30.0,3796.6666666666665
policy5,2025-10-22-20-08-35,33.0,3711.3333333333335
policy5,2025-10-22-20-08-35,36.0,3756.6666666666665
policy5,2025-10-22-20-08-35,39.0,3807.6666666666665
policy5,2025-10-22-20-08-35,42.0,3748.0
policy5,2025-10-22-20-08-35,45.0,3846.3333333333335
policy5,2025-10-22-20-08-35,48.0,3800.6666666666665
policy5,2025-10-22-20-08-35,51.0,3767.6666666666665
policy5,2025-10-22-20-08-35,54.0,3896.0
policy5,2025-10-22-20-08-35,57.0,3839.6666666666665
policy5,2025-10-22-20-08-35,60.0,3748.0
